name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
Five Star Chicken,0,No,3.7outof5,,300
30 Square,0,No,4.2outof5,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo",400
Biryani Pot,0,No,3.8outof5,"Hyderabadi Biryani, Vegetable Biryani, Mutton Biryani, Veg Dum Biryani, Chicken Boneless Biryani, Egg Biryani, Chicken Dum Biryani",500
Poha House,0,No,3.6outof5,,200
A2B - Adyar Ananda Bhavan,0,No,4.1outof5,,200
Subway,0,No,3.1outof5,"Veg Salad, Sandwich",600
Muthashy's,0,No,4.2outof5,"Fish, Appam, Egg Roast, Kadala Curry, Chicken Curry, Beef Fry, Ghee Rice",400
Kolkata Rolls & Fast Food,0,No,3.5outof5,,200
The Good Bowl,0,No,3.7outof5,,500
Vegetarea,0,No,3.8outof5,,250
Namma Biriyani,0,No,3.7outof5,,250
Priya Juice & Snacks,0,No,3.7outof5,,200
Dum Biryani Hub,0,No,3.9outof5,"Dum Biryani, Mutton Biryani",700
Madeena Hotel,0,No,3.9outof5,"Biryani, Paratha",400
Ilyazsab The House Of Chicken,0,No,4.0outof5,,250
Swad Punjab Da,0,No,4.1outof5,"Lassi, Veg Thali, Roti, Aloo Paratha, Egg Curry",150
Pizza Hut,0,No,3.9outof5,"Pasta, Pepperoni, Garlic Bread, Supreme Pizza, Pane Pizza",750
New Punjabi Dhaba,0,No,3.9outof5,"Panneer Butter Masala, Butter Chicken, Kadhai Paneer, Egg Biryani, Paratha, Noodles, Chilli Paneer",300
Chai Point,0,No,4.0outof5,"Ginger Tea, Poha, Banana Cake, Lemon Chai, Samosa, Masala Tea, Ginger Chai",250
KFC,0,No,3.7outof5,"Burgers, Crispy Chicken, Chicken Grill, Fiery Chicken, Chicken Wings, Ginger Chicken, Rice Bowl",400
Punjabi Dhaba,0,No,3.4outof5,"Butter Chicken, Paratha",350
Shree Muthahalli Veg,0,No,4.2outof5,"Rava Idli, Filter Coffee, Tea, Vada, Paper Masala Dosa, Donne Biryani",300
Anand Sweets And Savouries,0,No,4.2outof5,"Chaat, Rasmalai, Motichoor Ladoo, Thali, Pav Bhaji, Paneer Tikka, Chole Bhature",400
Beijing Bites,0,No,3.3outof5,,400
Maa Bhook Lagi,0,No,3.9outof5,"Chole, Kheer, Biryani, Litti, Liti Chokha, Churma, Raita",400
Juice Shop,0,No,3.7outof5,,150
Gangothri Veg Restaurant,0,No,3.7outof5,,300
Vegan Heat,0,No,4.1outof5,"Burgers, Pancakes, Waffles, Salad",650
Bihar Ki Shan,0,No,3.8outof5,Roti,300
Chicken Corner,0,No,3.7outof5,,400
Shaadi Ki Biryani,0,No,2.9outof5,,600
Savoury Restaurant,0,No,3.9outof5,"Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam",800
Royal Biryani Kitchen,0,No,3.9outof5,"Mutton Biryani, Dragon Chicken, Chicken Dum Biryani, Vegetable Biryani, Paneer Biryani",600
Sangam Sweets,0,No,3.9outof5,"Pav Bhaji, Chaat, Paratha, Chole Bhature, Panipuri, Dhokla, Dahi Bhalle",200
Al Daaz,0,No,4.2outof5,"Pizza, Chicken Kebab, Mocktails, Burgers, Pasta, Chicken Biryani, Salad",550
Swathi Restaurant,0,No,,,400
99 Variety Dosa and Pav Bhaji,0,No,4.0outof5,,250
Kaaram,0,No,3.9outof5,"Mughlai Biryani, Vegetable Biryani, Kaaram Biryani, Gulab Jamun, Raita, Kebab Biryani, Dum Biryani",500
Warm Oven,0,No,4.3outof5,"Chocolate Truffle Cake, Eggless Cake, Cup Cake, Chocolate Dreamcake, Photo Cake, Fruit Cake, Litchi Cake",500
Sulemani Chichas,0,No,4.1outof5,"Hyderabadi Biryani, Chicken Biryani, Mutton Paya, Mutton Biryani, Vegetable Biryani, Khichda, Tandoori Chicken",400
DVG Benne Dosa,0,No,4.1outof5,,150
A 1 Pizza and Food,0,No,2.8outof5,Pizza,300
Punjabites,0,No,3.9outof5,,400
Mad Over Donuts,0,No,4.2outof5,"Donut, Latte, Coffee, Choco Bomb, Hot Chocolate, Waffles, Cappuccino",450
Behrouz Biryani,0,No,4.0outof5,"Gulab Jamun, Mint Raita, Paneer Subz Biryani, Hyderabadi Biryani, Mutton Biryani, Biryani Box, Basmati Rice",650
OMG Biriyani,0,No,3.4outof5,,600
The Biriyani Pedia,0,No,3.9outof5,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",300
Sri Punjabi Dhaba,0,No,3.3outof5,,400
Nandhanam Restaurant,0,No,3.8outof5,,300
New Mahesh Friends Food Corner,0,No,3.2outof5,,300
Hotel Salam,0,No,4.1outof5,,400
Polar Bear,0,No,4.1outof5,"Hot Chocolate Fudge, Mango Sorbet, Brownie Fudge",400
Kanti Sweets,0,No,4.1outof5,,400
South Tiffins,0,No,3.6outof5,"Masala Dosa, Vada, Tea, Coffee, Idli",150
Hari Super Sandwich,0,No,4.0outof5,,100
Dadi's Dum Biryani,0,Yes,4.1outof5,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab",800
Ghee Biryanis,0,No,3.4outof5,Biryani,500
Alankrutha,0,No,3.9outof5,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani",500
Asha Tiffins,0,No,4.3outof5,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",150
Samosa Singh,0,No,4.0outof5,"Chicken Keema Samosa, Aloo Samosa, Manchurian Samosa, Paneer Samosa",200
Ovenstory Pizza,0,No,4.1outof5,"Chicken Tikka, Chocolava Cake, Peri Peri Pizza, Tandoori Paneer, Lava Cake",750
The Shawarma Shop,0,No,4.1outof5,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",250
The Belgian Waffle Co.,0,No,4.1outof5,"Belgian Waffles, Belgian Chocolate Waffle",350
Kabab Magic,0,No,3.8outof5,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Arabian Pulpy Grape Juice",500
Sri Vishnu Park,0,No,3.8outof5,Masala Dosa,350
Tandoori Paradise,0,No,3.6outof5,,600
Aasife & Brothers Biriyani Centre,0,No,3.9outof5,"Biryani, Fried Rice, Fish, Chicken Lollipop",600
McDonald's,0,No,3.8outof5,"Coffee, Peri Peri Fries, Hot Chocolate, Scrambled Eggs, Donut, Grilled Chicken Wrap, Ice Tea",500
Thalassery Restaurant,0,No,3.7outof5,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food",600
Night Biryani,0,No,3.2outof5,,600
Chaatimes,0,No,3.4outof5,"Chaat, Dabeli, Panipuri",200
Indian Chicken Biryani Point,0,No,3.3outof5,,300
Potful,0,No,4.1outof5,"Phirni, Chicken Roll, Hyderabadi Biryani, Mutton Biryani, Lucknowi Biryani, Galauti Kebab, Gulab Jamun",650
Village Donne Biryani,0,No,3.3outof5,,300
Krishna Sagar,0,No,3.9outof5,Masala Dosa,300
Fresh Kitchen,0,No,3.3outof5,,600
Sri Udupi Park,0,No,4.0outof5,Tea,300
Pathaan Sir,0,No,3.9outof5,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll",300
Gurukrupa Paratha House,0,No,3.1outof5,"Paratha, Naan, Kadai Paneer, Malai Kofta, Panneer Butter Masala, Lassi, Chicken Keema",500
Noodle Panda,0,No,4.3outof5,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums",800
Sher-E-Punjab,0,No,3.2outof5,,400
Odissi Restaurant,0,No,2.9outof5,"Egg Tadka, Roti, Veg Thali",500
Delite Chaat House,0,No,3.9outof5,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri",300
Chaiwala,0,No,3.1outof5,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",100
Savoury - Sea Shell Restaurant,0,No,3.9outof5,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup",750
C. K. Mega Hot Food,0,No,3.9outof5,"Chicken Lollipop, Garlic Butter Noodle",600
Grow Fit,0,No,4.0outof5,"Pizza, Brownie, Chicken Biryani",500
Yum In My Tum,0,No,4.2outof5,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta",300
ONE IN A MELON,0,No,4.1outof5,"Sandwiches, Fruit Juices, Chaat, Paneer Sandwich, Watermelon Juice, Cheese Sandwich",300
Tarbouche,0,No,4.0outof5,"Falafel, Lamb Kebab, Rolls, Fattoush, Teriyaki Chicken, Fries, Shawarma",300
Stoned Monkey,0,No,4.1outof5,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream",500
Szechuan Dragon,0,No,4.0outof5,"Salad, Fried Rice Chicken",600
The Burger Place,0,No,3.8outof5,,400
Sri Krishna Sagar,0,No,3.9outof5,,300
Mustard Cafe,0,No,4.1outof5,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers",800
Ashirvaad Grand,0,No,4.0outof5,"Masala Dosa, Panneer Butter Masala",400
Bubble Bee,0,No,3.9outof5,"Bubble Tea, Waffles, Blueberry Cheesecake",400
Podi Idly,0,No,4.3outof5,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",250
Vijayalakshmi Veg,0,No,3.9outof5,"Vada, Rava Idli, Masala Dosa, Coffee",200
Aramane Donne Biriyani,0,No,3.9outof5,"Egg Biryani, Donne Biryani",300
New Mangalore Lunch Home,0,No,3.8outof5,,300
Afghani Tandoori Hub,0,No,3.7outof5,,400
The Pancake Story,0,No,4.6outof5,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate",300
Barbeque Station,0,No,2.8outof5,"Biryani, Butter Naan",700
Daba Delights,0,No,3.3outof5,,400
Howlin Wolf,0,No,4.1outof5,"Chicken Steak, Burgers, Pizza, Salad, Fries, Garlic Bread, Chicken Nuggets",700
Yo! Thali,0,No,3.5outof5,,400
Kannoor Restaurant,0,No,3.1outof5,,700
Beer Adda,0,Yes,4.3outof5,"Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","1,000"
Moolehatti Donne Biryani Mane,0,No,3.6outof5,"Mutton Biryani, Chicken Kebab, Donne Biryani",400
Bhookha Sher,0,No,3.6outof5,,350
Eagles Pizza,0,No,3.7outof5,,400
Rolla Rappa,0,No,3.6outof5,"Rolls, Tandoori Momos, Soya Chaap, Peri Peri Chicken Roll, Chicken Biryani, Fries, Paneer Roll",400
Punjabi Nawabi,0,No,3.8outof5,"Dal Makhani, Tikka, Saag, Naan, Makke Ki Roti",500
RB Food Point,0,No,3.8outof5,,300
Cupcake Bliss,0,No,3.6outof5,,250
Khai Khai,0,No,4.0outof5,"Mutton Kosha, Kosha Mangsho",450
Indiana Burgers,0,No,3.5outof5,"Burgers, Chicken Whopper Burger",300
Gorbandh,0,No,4.0outof5,"Aloo Paratha, Samosa, Kachori, Poha, Chaat",400
Brownie Heaven,0,No,3.9outof5,,300
Donne Biriyani House,0,No,3.2outof5,,400
Dabba Gosht,0,No,3.4outof5,,400
Zee5 Loft,0,No,4.4outof5,"Pizza, Pasta, Lemonade, Brownie, Chocolate Shake, Peri Peri Fries, Chicken Wings",700
Tall Blonde French,0,No,4.3outof5,"French Fries, Peri Peri Fries, Cup Cake, Potato Fries, Fried Cheese, Chicken Fries, Mexican Fries",400
Mealer.in,0,No,4.2outof5,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole",450
New Gongura Grand,0,No,3.9outof5,"Andhra Thali, Chicken Lollipop, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita",550
Tata Cha,0,No,3.7outof5,,500
Nutty Affair,0,No,3.8outof5,,350
Mandya Gowdru Donne Biriyani,0,No,3.8outof5,,350
Belgian Waffle Factory,0,No,4.8outof5,"Nachos, Chocolate Waffles, Nutella Waffle, Salsa, Oreo Waffle",400
Hyderabadi Biryani Hub,0,No,3.6outof5,"Biryani, Raita",600
Lassi Shop,0,No,3.9outof5,,200
WTF,0,No,4.1outof5,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake",600
Momo Rice Noodles,0,No,3.2outof5,,600
Biryani Palace,0,No,3.9outof5,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita",600
What'sinaPita,0,No,3.9outof5,"Falafel Wrap, Salads, Brownie Fudge, Fattoush Salad, Chicken Wings, Pita Bread, Paneer Wrap",400
Occasions,0,No,4.3outof5,"Cup Cake, Chocolate Truffle, Dutch Truffle, Blueberry Cheesecake",400
Chowpatty,0,No,3.6outof5,"Pav Bhaji, Dabeli, Paratha, Raj Kachori, Vada Pav",300
Le Gateau - The Cake Shop,0,No,4.4outof5,"Cup Cake, Fruit Gateau, Sponge Cake, Mango Cake, Eggless Cake, Chocolate Truffle Cake, Cheesecake",600
Fritz Haber,0,No,4.0outof5,"Ice Cream Roll, Nitrogen Ice Cream, Roasted Almonds, Salted Caramel",450
New Udupi Grand,0,No,3.7outof5,,250
Krispy Kreme,0,No,3.9outof5,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee",300
Punjab Di Shaan,0,No,3.0outof5,"Roti, Thali, Paratha",450
House Stark Cafe,0,No,3.9outof5,Fries,300
Magix's Parattha Roll,0,No,3.7outof5,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",400
Smally's Resto Cafe,0,Yes,4.2outof5,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken",650
Basmati's Briyani Nation,0,No,NEW,,350
Ambur Star Briyani,0,No,3.7outof5,"Mutton Biryani, Ambur Biryani, Chicken Biryani",400
Adyar Ananda Bhavan - Sweets,0,No,3.4outof5,,200
99 Pancakes,0,No,4.5outof5,"Pan Cake, Waffles, Nutella Pancakes",300
Hanoi - Vietnamese Cuisine,0,Yes,4.4outof5,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup","1,000"
Tenzin Kitchen,0,No,4.2outof5,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli",450
The Village Hotel,0,No,3.5outof5,,450
Tibetan Kitchen,0,No,4.3outof5,"Noodles, Pasta, Tibetan Momos, Clear Soup, Chicken Momo, Tibetan Thukpa, Tea",600
Dosa Plaza,0,No,3.8outof5,Masala Dosa,200
Keto Kitchen,0,No,3.6outof5,,500
Shahi Darbar,0,No,3.2outof5,,300
PHEW (Play Hard Eat Wild),0,Yes,3.9outof5,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings",700
Artinci Artisanal Ice Cream,0,No,3.5outof5,,300
Bite Me Cupcakes,0,No,4.1outof5,"Cup Cake, Chocolate Cake",300
Karama Restaurant,0,No,3.3outof5,,400
Punjabi by Nature 2.0,0,No,4.2outof5,"Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer",
Howrah Bridge,0,No,3.3outof5,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha",600
Roundup Cafe,0,Yes,4.2outof5,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta",800
Foodiesthan,0,No,3.7outof5,"Masala Chai, Garlic Bread, Oreo Shake",600
Chai Street,0,No,3.3outof5,,150
The Milkshake Theory,0,No,4.0outof5,,400
The Waffles Hut,0,No,4.1outof5,"Waffles, Vanilla Ice Cream, Brownie, Nutella Waffle, Velvet Crunch, Belgian Chocolate Waffle",400
Pin Me Down,0,Yes,4.5outof5,"Paneer Tikka, Pizza, Mocktails, Tandoori Aloo, Chowmein, Pasta Alfredo, Murgh Patiala",800
Fujian Express,0,No,3.2outof5,,200
Indori Zaika,0,No,2.8outof5,,300
Shagun Sweets & Foods,0,No,3.5outof5,"Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji",400
Shree Durgamba Juice Centre,0,No,3.1outof5,,200
Tetto,0,No,3.7outof5,"Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers","1,200"
Waffle Magic,0,No,4.1outof5,Waffles,700
Nuts Over Salads Cafe,0,Yes,4.4outof5,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie",800
Axomi - Taste of Assam,0,No,4.1outof5,"Thali, Duck Curry, Fish, Brinjal Fry, Aloo Pitika, Chicken Curry, Lime Soda",500
Under The Tree,0,No,3.0outof5,Sandwich,200
Rolls Mania,0,No,3.7outof5,,450
Dwaraka Krishna,0,No,3.7outof5,"Biryani, Shahi Paneer",500
Stoner,0,No,4.5outof5,"Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake",500
Napoli Italian Bistro,0,Yes,4.1outof5,"Pasta, Pizza, Chocolate Bomb, Wine, Ginger Lime Mojito, Tiramisu, Watermelon Mojito","1,200"
Hyderabad Biryaani House,0,No,4.1outof5,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn",750
Makers of Milkshakes,0,No,4.2outof5,"Vanilla Ice Cream, Chocolate Milkshake",400
Nutri Rich,0,No,3.8outof5,"Pizza, Spinach Curry, Salad",350
Waffle Head,0,No,4.0outof5,"Marshmallow, Chocolate Waffles",300
Lot Like Crepes,0,No,4.6outof5,"Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe",550
Soup'ermanz Kitchen,0,No,4.1outof5,"Crispy Chicken, Pasta, Burgers, Pizza, Chicken Burger, Clear Soup, Brownie",750
OMY Grill,0,No,3.8outof5,,300
Cafe Alchemist,0,No,3.8outof5,,300
The Rasaganga,0,No,3.9outof5,"Coffee, Dahi Vada, Chaat",300
Barbeque Delight,0,No,3.8outof5,"Tandoori Chicken, Paratha",800
Freshies Gourmet Salads,0,No,3.7outof5,,350
Tapri By The Corner,0,No,4.1outof5,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",250
Koramangala Social,0,No,4.6outof5,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","1,500"
Tibetan Mother's Kitchen,0,No,4.0outof5,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken",500
WAFL Co,0,No,4.2outof5,"Waffles, Pancakes, Oreo Waffle",400
Yummy Pot,0,No,,,300
Darshan Paradise Restaurant,0,No,3.6outof5,,300
Sri Dalma,0,No,3.8outof5,"Thali, Mutton Handi",350
Nagas,0,No,3.0outof5,,300
Anda Ka Funda,0,No,3.2outof5,"Paratha, Rolls, Roti",250
Bangalore Cafe,0,No,3.7outof5,"Sabudana Vada, Masala Dosa, Filter Coffee, Pesarattu Upma, Podi Idli, Mirchi Bajji, Pongal",400
Sri Krishna Sagar,0,No,3.5outof5,"Coffee, Vada, Chaat, Rava Idli",400
Healthie,0,No,3.9outof5,"Chicken Grill, Sandwich",600
AlienSip,0,No,3.6outof5,,200
Rusbury Fresh Sweets And Savouries,0,No,4.0outof5,"Panipuri, Chaat, Rasmalai, Samosa, Pav Bhaji",200
PSV's Andhra Paradise,0,No,3.5outof5,"Chicken Guntur, Biryani, Thali",600
Tea Villa Cafe,0,Yes,4.2outof5,"Tea, Waffles, Pasta, Spaghetti, Sandwiches, Ratatouille, Nutella Waffle",800
Chef Delicacies,0,No,,,400
Make It Roll,0,No,3.8outof5,,400
LayerBite,0,No,3.8outof5,,450
The Paramount Hotel,0,No,2.9outof5,"Egg Paratha, Tangdi Kabab, Butter Chicken, Ghee Rice, Faluda, Shawarma, Chicken Kebab","1,000"
Gramin,0,No,4.3outof5,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",600
Smise,0,Yes,4.0outof5,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza",650
Food And You,0,No,3.9outof5,,350
Bearfoot Cafe,0,No,4.2outof5,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",600
Baba Chatkora,0,No,4.2outof5,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap","1,000"
Laddoos,0,No,3.4outof5,"Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa",250
KF's Biryani's and Kababs,0,No,3.4outof5,,400
The Egg Factory,0,No,4.0outof5,"Shakshouka, Kothu Paratha, Scrambled Eggs, Pasta, English Breakfast, Cheese Omelette, Masala Omelette",750
Classic Shop,0,No,3.8outof5,,150
Lassi Berg,0,No,3.5outof5,,100
Assi Tussi Lassi,0,No,3.7outof5,,200
Keventers,0,No,4.0outof5,"Kit Kat Shake, Thick Shakes, Rasmalai, Oreo Shake, Chocolate Hazelnut, Milk Shake, Choco Hazelnut",400
Momo Blues,0,No,NEW,,200
Lassi Darbar,0,No,3.6outof5,,200
Manchu Cafe,0,No,3.8outof5,,300
Boston Barista - Kappayum Curriyum,0,No,3.6outof5,,400
Paisa Vasool,0,No,3.3outof5,"Fish Thali, Aloo Paratha",400
Uptown Sliders & Shakes,0,No,3.9outof5,"Burgers, Strawberry Shake, Fries, Pancakes, Chicken Salad, Lamb",600
Davanagere Benne Dose,0,No,3.9outof5,Benne Dosa,150
Awesome Foods,0,No,3.7outof5,,300
Bombay Sandwich Company,0,No,3.6outof5,,400
Malabar Bay,0,Yes,4.2outof5,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta",800
Pappu Chaiwalla,0,No,3.1outof5,"Ginger Chai, Ginger Tea, Pakoda, Paratha, Maggi, Pav Bhaji, Sulemani Chai",350
Biriyani Bhatti,0,No,3.7outof5,,400
Dr. Shawarma,0,No,3.5outof5,,200
Firangi Bake,0,No,4.1outof5,"Lasagne, Subz-e-royal Pot Rice",600
Rajveena Kitchen,0,No,3.7outof5,,500
All Aromas,0,No,NEW,,400
Pot Biryani,0,No,3.9outof5,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton",600
Sweet Chariot,0,No,4.0outof5,"Donut, Chocolate Mousse, Chocolate Cake, Cheesecake, Chicken Wings",500
Pizza Stop,0,No,3.2outof5,"Pasta, Supreme Pizza, Thin Crust Pizza, Cheesy Garlic Bread",600
Royal Calcutta Restaurant,0,No,3.3outof5,,400
Pizza Cart,0,No,3.8outof5,"Pizza, Rolls, Burgers",800
Turkish Shawarma,0,No,3.6outof5,,200
Kairali,0,No,3.9outof5,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani",300
Krem,0,No,4.1outof5,"Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae",450
Cream Stone,0,No,4.2outof5,"Nutella Brownie, Fruit Ice Cream, Ferrero Rocher Ice Cream, Chocolava, Hot Chocolate Fudge, Mango Ice Cream, Waffles",500
Arya Hungry?,0,No,4.3outof5,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",450
NutBerry,0,No,3.8outof5,,150
Mitran Da Junction,0,No,4.1outof5,"Butter Chicken, Dal Makhani, Roti, Tangdi Kabab, Panneer Butter Masala",600
Cravy Wings,0,No,4.2outof5,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger",400
The Litti Company,0,No,3.7outof5,"Liti Chokha, Aloo Litti, Dal Halwa",400
Public Khana,0,No,3.5outof5,,200
Chai Galli,0,No,4.3outof5,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie",450
Grigliato,0,No,3.9outof5,"Beer, Steak, Burgers, Fritters, Caramel Custard, Pasta Alfredo, Pizza","1,000"
Smoke de Burger,0,No,3.6outof5,,300
Bamey's Restro Cafe,0,No,4.2outof5,"Momo Platter, Thali, Noodles, Chicken Sekuwa, Chicken Thukpa, Jhol Momos, Veg Momos",600
El Salver,0,Yes,3.9outof5,Fish Curry,900
Fresh Pressery Cafe,0,No,4.1outof5,"Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","1,200"
Veruthe Oru Thattukada,0,No,3.7outof5,,400
Habibi Falafel,0,No,4.3outof5,"Baklava, Falafel Roll, Falafel Plate, Pita Bread, Mint Lemonade, Pita Pocket, Pomegranate Juice",300
Third Wave Coffee Roasters,0,No,4.4outof5,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie",800
Go Italia,0,No,4.0outof5,"Pizza, Pasta, Garlic Bread, Veg Burger, Wine, Minestrone Soup, Chocolate Cake",750
YumYumDilli,0,No,3.7outof5,,500
Lassi Corner,0,No,3.5outof5,,300
WOW! Momo,0,No,3.9outof5,"Thukpa, Chocolate Momos, Schezwan Momos, Momos Burger, Burgers, Chicken Momo, Veg Momos",400
Shree Mahalakshmi Sweets,0,No,3.3outof5,,100
Hotel Junior Kuppanna,0,No,3.1outof5,"Chicken Curry, Mutton Biryani, Paratha, Kothu Parotta, Mutton Fry, Pallipalayam Chicken, Chicken Biryani",550
Oh My Biryani,0,No,3.7outof5,"Raita, Butter Chicken Biryani, Shahi Tukda, Gulab Jamun, Coconut Chicken, Mutton Biryani",550
Chai Makhani,0,No,3.5outof5,,100
Goli Vada Pav No. 1,0,No,3.7outof5,"Cheese Vada Pav, Kulfi, Burgers, Tikki, Cheese Fingers, Schezwan Vada Pav",200
AM's Cafe Recreate,0,No,3.3outof5,,250
Abhiruchi Hotel,0,No,3.3outof5,,700
Masale Daan,0,No,,,350
Chef Genie,0,No,,,500
Fillers,0,No,3.9outof5,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal",300
Bakers Town,0,No,3.6outof5,"Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger",600
Ice Cafe & Lassi Shop,0,No,3.6outof5,,100
The Chef's Cake & Bakes,0,No,NEW,,800
1722 Urban Bistro,0,Yes,4.1outof5,"Burgers, Pasta, Pizza, Biryani, Veg Burger, Chicken Burger, Chicken Lollipop",600
Mani's Dum Biryani,0,No,3.9outof5,"Vegetable Biryani, Chicken Biryani, Raita, Chicken Kebab, Hyderabadi Biryani, Fish Biryani, Paneer Biryani",750
Cream Chemistry,0,No,4.0outof5,"Rolls, Chocolate Icecreams, Red Velvet Ice Cream, Ice Cream Roll, Waffles",500
Little Kolkata,0,No,3.9outof5,"Chicken Curry, Fish, Thali, Rolls, Rasgulla, Chicken Biryani",500
Friend's Cafe,0,No,3.9outof5,"Coffee, Burgers, Pasta, Beef Steak, Chicken Lasagne, Salads, Sandwiches",600
Domino's Pizza,0,No,4.0outof5,"Pizza, Barbeque Chicken",400
TRUE BLEU RESTO CAFE,0,No,4.2outof5,"Pizza, Bannoffee Pie, Mocktails, Pasta Alfredo, Burgers, Nachos, Veg Burger",400
